"","area_dest","both_1990","both_1995","both_2000","both_2005","both_2010","2015","male_1990","male_1995","male_2000","male_2005","male_2010","female_1990","female_1995","female_2000","female_2005","female_2010"
"118","Slovakia","41 295","69 323","116 376","130 491","146 319","177 190_83 714_93 476","18 187","30 531","51 253","58 716","66 938","23 108","38 792","65 123","71 775","79 381"
"119","Ukraine","6 892 920","6 172 338","5 527 087","5 050 302","4 818 767","4 834 898_2 083 230_2 751 668","2 953 603","2 644 845","2 368 364","2 168 060","2 072 474","3 939 317","3 527 493","3 158 723","2 882 242","2 746 293"
"120","Channel Islands","61 660","60 519","64 301","70 941","77 581","82 307_39 338_42 969","29 005","28 468","30 234","33 611","36 982","32 655","32 051","34 067","37 330","40 599"
"121","Denmark","235 189","303 108","371 026","440 383","509 740","572 520_277 099_295 421","114 411","147 194","179 977","213 097","246 217","120 778","155 914","191 049","227 286","263 523"
"122","Estonia","381 997","315 755","249 512","233 701","217 890","202 348_81 237_121 111","171 691","136 268","100 844","94 244","87 644","210 306","179 487","148 668","139 457","130 246"
"123","Faeroe Islands","4 285","2 900","3 593","4 583","5 096","5 517_2 795_2 722","2 440","1 575","1 921","2 450","2 700","1 845","1 325","1 672","2 133","2 396"
"124","Finland","63 255","99 729","136 203","192 169","248 135","315 881_160 650_155 231","31 682","49 575","67 469","96 429","125 389","31 573","50 154","68 734","95 740","122 746"
"125","Iceland","9 584","12 738","15 892","25 492","35 091","37 522_18 156_19 366","4 248","5 727","7 207","12 413","17 619","5 336","7 011","8 685","13 079","17 472"
"126","Ireland","227 961","226 892","350 552","589 046","730 542","746 260_363 521_382 739","112 093","108 084","172 959","309 910","360 440","115 868","118 808","177 593","279 136","370 102"
"127","Isle of Man","34 769","36 886","39 002","41 475","43 447","45 221_22 393_22 828","16 371","17 548","18 725","20 214","21 361","18 398","19 338","20 277","21 261","22 086"
"128","Latvia","646 007","538 093","430 178","376 725","313 786","263 126_102 673_160 453","290 800","234 216","177 632","154 745","124 675","355 207","303 877","252 546","221 980","189 111"
"129","Lithuania","349 258","273 587","214 311","201 209","160 772","136 036_57 203_78 833","164 585","128 641","100 546","94 189","69 606","184 673","144 946","113 765","107 020","91 166"
"130","Norway","192 587","233 302","292 440","361 144","526 799","741 813_387 098_354 715","99 562","117 222","144 826","176 444","268 505","93 025","116 080","147 614","184 700","258 294"
"131","Sweden","788 767","936 022","1 003 798","1 125 790","1 384 929","1 639 771_810 259_829 512","383 085","450 945","480 211","538 490","673 083","405 682","485 077","523 587","587 300","711 846"
"132","United Kingdom of Great Britain and Northern Ireland","3 650 286","4 155 293","4 730 165","5 926 156","7 604 583","8 543 120_4 060 192_4 482 928","1 756 448","1 978 711","2 228 628","2 818 177","3 667 186","1 893 838","2 176 582","2 501 537","3 107 979","3 937 397"
"133","Albania","66 013","71 354","76 695","64 739","52 784","57 616_29 363_28 253","30 579","33 284","35 990","32 993","26 901","35 434","38 070","40 705","31 746","25 883"
"134","Andorra","38 904","40 525","42 146","50 298","52 053","42 082_22 221_19 861","20 810","21 451","22 092","26 559","27 486","18 094","19 074","20 054","23 739","24 567"
"135","Bosnia and Herzegovina","56 000","69 476","82 952","47 272","38 792","34 803_16 599_18 204","26 538","33 115","39 691","22 473","18 504","29 462","36 361","43 261","24 799","20 288"
"136","Croatia","475 438","674 085","585 298","579 273","573 248","576 883_269 287_307 596","222 531","315 733","274 823","271 645","268 466","252 907","358 352","310 475","307 628","304 782"
"137","Gibraltar","8 709","8 381","8 054","9 211","10 369","11 065_5 591_5 474","4 528","4 196","3 865","4 518","5 171","4 181","4 185","4 189","4 693","5 198"
"138","Greece","618 139","857 850","1 111 665","1 190 707","1 269 749","1 242 514_575 927_666 587","330 038","445 004","559 794","587 677","615 560","288 101","412 846","551 871","603 030","654 189"
"139","Holy See","770","779","787","793","799","800_374_426","376","378","379","378","377","394","401","408","415","422"
"140","Italy","1 428 219","1 774 954","2 121 688","3 954 790","5 787 893","5 788 875_2 608 451_3 180 424","642 414","809 553","976 691","1 820 290","2 663 889","785 805","965 401","1 144 997","2 134 500","3 124 004"
"141","Malta","15 077","17 740","21 521","24 560","33 084","41 442_21 969_19 473","7 012","8 366","10 289","11 899","16 777","8 065","9 374","11 232","12 661","16 307"
"142","Montenegro","..","..","..","..","78 507","82 541_33 547_48 994","..","..","..","..","31 636","..","..","..","..","46 871"
"143","Portugal","435 782","532 822","651 472","771 184","762 825","837 257_389 537_447 720","209 922","259 337","320 319","376 774","371 536","225 860","273 485","331 153","394 410","391 289"
"144","San Marino","3 310","3 659","4 045","4 218","4 399","4 717_2 577_2 140","1 728","1 940","2 175","2 302","2 435","1 582","1 719","1 870","1 916","1 964"
"145","Serbia","99 269","630 221","856 763","845 120","826 066","807 441_355 180_452 261","46 712","289 545","383 893","373 473","364 654","52 557","340 676","472 870","471 647","461 412"
"146","Slovenia","178 077","174 419","171 018","197 276","253 786","235 966_134 491_101 475","89 514","90 255","90 464","107 131","141 285","88 563","84 164","80 554","90 145","112 501"
"147","Spain","821 605","1 020 067","1 657 285","4 107 226","6 280 065","5 852 953_2 855 179_2 997 774","390 448","499 114","838 058","2 140 680","3 238 238","431 157","520 953","819 227","1 966 546","3 041 827"
"148","The former Yugoslav Republic of Macedonia","95 142","109 343","125 665","127 667","129 701","130 730_54 496_76 234","39 661","45 581","52 385","53 220","54 067","55 481","63 762","73 280","74 447","75 634"
"149","Austria","793 239","894 893","996 547","1 136 270","1 275 992","1 492 374_716 470_775 904","368 287","423 302","478 318","543 618","608 918","424 952","471 591","518 229","592 652","667 074"
"150","Belgium","891 537","885 278","853 369","870 862","1 052 844","1 387 940_715 142_672 798","480 445","468 072","443 696","445 710","534 608","411 092","417 206","409 673","425 152","518 236"
"151","France","5 897 267","6 087 993","6 278 718","6 737 600","7 196 481","7 784 418_3 782 619_4 001 799","2 999 376","3 046 083","3 092 789","3 300 859","3 508 928","2 897 891","3 041 910","3 185 929","3 436 741","3 687 553"
"152","Germany","5 936 181","7 464 406","8 992 631","10 299 160","11 605 690","12 005 690_5 709 939_6 295 751","3 293 128","3 898 397","4 503 666","5 011 682","5 519 698","2 643 053","3 566 009","4 488 965","5 287 478","6 085 992"
"153","Liechtenstein","10 906","13 311","15 483","18 898","22 342","23 493_11 428_12 065","5 956","7 068","7 980","9 434","10 867","4 950","6 243","7 503","9 464","11 475"
"154","Luxembourg","113 795","126 106","139 750","150 618","163 142","249 325_126 180_123 145","56 062","62 292","69 286","74 951","81 420","57 733","63 814","70 464","75 667","81 722"
"155","Monaco","20 359","21 060","21 787","21 312","21 132","21 042_10 326_10 716","9 471","9 955","10 458","10 322","10 325","10 888","11 105","11 329","10 990","10 807"
"156","Netherlands","1 182 263","1 346 164","1 556 337","1 736 127","1 832 510","1 979 486_942 478_1 037 008","592 343","668 236","765 302","843 444","881 264","589 920","677 928","791 035","892 683","951 246"
"157","Switzerland","1 392 282","1 478 829","1 570 756","1 805 437","2 075 182","2 438 702_1 195 043_1 243 659","701 110","769 043","841 855","922 387","937 911","691 172","709 786","728 901","883 050","1 137 271"
